"region","data_origin","year","variable","response","percentage"
"Tumbes","INEI",2017,"Acceso a TIC","No accede",0.109348541
"Ucayali","INEI",2017,"Acceso a TIC","No accede",0.21227588
"Amazonas","INEI",2007,"Acceso a TIC","Accede",0.201048045
"Ancash","INEI",2007,"Acceso a TIC","Accede",0.439283778
"Apurimac","INEI",2007,"Acceso a TIC","Accede",0.181398844
"Arequipa","INEI",2007,"Acceso a TIC","Accede",0.607866612
"Ayacucho","INEI",2007,"Acceso a TIC","Accede",0.214444642
"Cajamarca","INEI",2007,"Acceso a TIC","Accede",0.230010411
"Callao","INEI",2007,"Acceso a TIC","Accede",0.811493073
"Cusco","INEI",2007,"Acceso a TIC","Accede",0.341779231
"Huancavelica","INEI",2007,"Acceso a TIC","Accede",0.078560855
"Huanuco","INEI",2007,"Acceso a TIC","Accede",0.218827982
"Ica","INEI",2007,"Acceso a TIC","Accede",0.648140775
"Junin","INEI",2007,"Acceso a TIC","Accede",0.395672421
"La Libertad","INEI",2007,"Acceso a TIC","Accede",0.554788718
"Lambayeque","INEI",2007,"Acceso a TIC","Accede",0.619856339
"Lima","INEI",2007,"Acceso a TIC","Accede",0.792775353
"Loreto","INEI",2007,"Acceso a TIC","Accede",0.310725606
"Madre De Dios","INEI",2007,"Acceso a TIC","Accede",0.448497854
"Moquegua","INEI",2007,"Acceso a TIC","Accede",0.546711746
"Pasco","INEI",2007,"Acceso a TIC","Accede",0.318811763
"Piura","INEI",2007,"Acceso a TIC","Accede",0.459684104
"Puno","INEI",2007,"Acceso a TIC","Accede",0.252030641
"San Martin","INEI",2007,"Acceso a TIC","Accede",0.334508137
"Tacna","INEI",2007,"Acceso a TIC","Accede",0.61650102
"Tumbes","INEI",2007,"Acceso a TIC","Accede",0.638476152
"Ucayali","INEI",2007,"Acceso a TIC","Accede",0.425841899
"Amazonas","INEI",2017,"Acceso a TIC","Accede",0.70269364
"Ancash","INEI",2017,"Acceso a TIC","Accede",0.815941414
"Apurimac","INEI",2017,"Acceso a TIC","Accede",0.716663493
"Arequipa","INEI",2017,"Acceso a TIC","Accede",0.929719262
"Ayacucho","INEI",2017,"Acceso a TIC","Accede",0.784329037
"Cajamarca","INEI",2017,"Acceso a TIC","Accede",0.752793169
"Callao","INEI",2017,"Acceso a TIC","Accede",0.954114518
"Cusco","INEI",2017,"Acceso a TIC","Accede",0.780566913
"Huancavelica","INEI",2017,"Acceso a TIC","Accede",0.684959158
"Huanuco","INEI",2017,"Acceso a TIC","Accede",0.749000988
"Ica","INEI",2017,"Acceso a TIC","Accede",0.904015325
"Junin","INEI",2017,"Acceso a TIC","Accede",0.819489124
"La Libertad","INEI",2017,"Acceso a TIC","Accede",0.869045434
"Lambayeque","INEI",2017,"Acceso a TIC","Accede",0.893024626
"Lima","INEI",2017,"Acceso a TIC","Accede",0.955734738
"Loreto","INEI",2017,"Acceso a TIC","Accede",0.676635229
"Madre De Dios","INEI",2017,"Acceso a TIC","Accede",0.899811649
"Moquegua","INEI",2017,"Acceso a TIC","Accede",0.893698519
"Pasco","INEI",2017,"Acceso a TIC","Accede",0.782476119
"Piura","INEI",2017,"Acceso a TIC","Accede",0.797587104
"Puno","INEI",2017,"Acceso a TIC","Accede",0.716116144
"San Martin","INEI",2017,"Acceso a TIC","Accede",0.828432077
"Tacna","INEI",2017,"Acceso a TIC","Accede",0.917580735
"Tumbes","INEI",2017,"Acceso a TIC","Accede",0.890651459
"Ucayali","INEI",2017,"Acceso a TIC","Accede",0.78772412
"Amazonas","INEI",2007,"Acceso a Internet","Accede",0.006740581
"Ancash","INEI",2007,"Acceso a Internet","Accede",0.033884815
"Apurimac","INEI",2007,"Acceso a Internet","Accede",0.009103293
"Arequipa","INEI",2007,"Acceso a Internet","Accede",0.068194726
"Ayacucho","INEI",2007,"Acceso a Internet","Accede",0.014698401
"Cajamarca","INEI",2007,"Acceso a Internet","Accede",0.0164111
"Callao","INEI",2007,"Acceso a Internet","Accede",0.105677635
"Cusco","INEI",2007,"Acceso a Internet","Accede",0.022353886
"Huancavelica","INEI",2007,"Acceso a Internet","Accede",0.003678524
"Huanuco","INEI",2007,"Acceso a Internet","Accede",0.0148674
"Ica","INEI",2007,"Acceso a Internet","Accede",0.042344106
"Junin","INEI",2007,"Acceso a Internet","Accede",0.021769816
"La Libertad","INEI",2007,"Acceso a Internet","Accede",0.056940251
"Lambayeque","INEI",2007,"Acceso a Internet","Accede",0.051978875
"Lima","INEI",2007,"Acceso a Internet","Accede",0.145067373
"Loreto","INEI",2007,"Acceso a Internet","Accede",0.018767822
"Madre De Dios","INEI",2007,"Acceso a Internet","Accede",0.009165636
"Moquegua","INEI",2007,"Acceso a Internet","Accede",0.051202672
"Pasco","INEI",2007,"Acceso a Internet","Accede",0.012453468
"Piura","INEI",2007,"Acceso a Internet","Accede",0.032528837
"Puno","INEI",2007,"Acceso a Internet","Accede",0.009762487
"San Martin","INEI",2007,"Acceso a Internet","Accede",0.020530274
"Tacna","INEI",2007,"Acceso a Internet","Accede",0.059196642
"Tumbes","INEI",2007,"Acceso a Internet","Accede",0.02539746
"Ucayali","INEI",2007,"Acceso a Internet","Accede",0.026792604
"Amazonas","INEI",2017,"Acceso a Internet","Accede",0.044549383
"Ancash","INEI",2017,"Acceso a Internet","Accede",0.183261547
"Apurimac","INEI",2017,"Acceso a Internet","Accede",0.089259647
"Arequipa","INEI",2017,"Acceso a Internet","Accede",0.32875621
"Ayacucho","INEI",2017,"Acceso a Internet","Accede",0.104178672
"Cajamarca","INEI",2017,"Acceso a Internet","Accede",0.092872237
"Callao","INEI",2017,"Acceso a Internet","Accede",0.44206094
"Cusco","INEI",2017,"Acceso a Internet","Accede",0.169189194
"Huancavelica","INEI",2017,"Acceso a Internet","Accede",0.049331246
"Huanuco","INEI",2017,"Acceso a Internet","Accede",0.10851753
"Ica","INEI",2017,"Acceso a Internet","Accede",0.274204119
"Junin","INEI",2017,"Acceso a Internet","Accede",0.163562693
"La Libertad","INEI",2017,"Acceso a Internet","Accede",0.272942259
"Lambayeque","INEI",2017,"Acceso a Internet","Accede",0.287287167
"Lima","INEI",2017,"Acceso a Internet","Accede",0.472277435
"Loreto","INEI",2017,"Acceso a Internet","Accede",0.127376262
"Madre De Dios","INEI",2017,"Acceso a Internet","Accede",0.164396793
"Moquegua","INEI",2017,"Acceso a Internet","Accede",0.250194909
"Pasco","INEI",2017,"Acceso a Internet","Accede",0.095755596
"Piura","INEI",2017,"Acceso a Internet","Accede",0.175351035
"Puno","INEI",2017,"Acceso a Internet","Accede",0.074521229
"San Martin","INEI",2017,"Acceso a Internet","Accede",0.145003234
"Tacna","INEI",2017,"Acceso a Internet","Accede",0.292664484
"Tumbes","INEI",2017,"Acceso a Internet","Accede",0.211971628
"Ucayali","INEI",2017,"Acceso a Internet","Accede",0.156695786
"Amazonas","INEI",2007,"Acceso a Internet","No accede",0.993259419
"Ancash","INEI",2007,"Acceso a Internet","No accede",0.966115185
"Apurimac","INEI",2007,"Acceso a Internet","No accede",0.990896707
"Arequipa","INEI",2007,"Acceso a Internet","No accede",0.931805274
"Ayacucho","INEI",2007,"Acceso a Internet","No accede",0.985301599
"Cajamarca","INEI",2007,"Acceso a Internet","No accede",0.9835889
"Callao","INEI",2007,"Acceso a Internet","No accede",0.894322365
"Cusco","INEI",2007,"Acceso a Internet","No accede",0.977646114
"Huancavelica","INEI",2007,"Acceso a Internet","No accede",0.996321476
"Huanuco","INEI",2007,"Acceso a Internet","No accede",0.9851326
"Ica","INEI",2007,"Acceso a Internet","No accede",0.957655894
"Junin","INEI",2007,"Acceso a Internet","No accede",0.978230184
"La Libertad","INEI",2007,"Acceso a Internet","No accede",0.943059749
"Lambayeque","INEI",2007,"Acceso a Internet","No accede",0.948021125
"Lima","INEI",2007,"Acceso a Internet","No accede",0.854932627
"Loreto","INEI",2007,"Acceso a Internet","No accede",0.981232178
"Madre De Dios","INEI",2007,"Acceso a Internet","No accede",0.990834364
"Moquegua","INEI",2007,"Acceso a Internet","No accede",0.948797328
"Pasco","INEI",2007,"Acceso a Internet","No accede",0.987546532
"Piura","INEI",2007,"Acceso a Internet","No accede",0.967471163
"Puno","INEI",2007,"Acceso a Internet","No accede",0.990237513
"San Martin","INEI",2007,"Acceso a Internet","No accede",0.979469726
"Tacna","INEI",2007,"Acceso a Internet","No accede",0.940803358
"Tumbes","INEI",2007,"Acceso a Internet","No accede",0.97460254
"Ucayali","INEI",2007,"Acceso a Internet","No accede",0.973207396
"Amazonas","INEI",2017,"Acceso a Internet","No accede",0.955450617
"Ancash","INEI",2017,"Acceso a Internet","No accede",0.816738453
"Apurimac","INEI",2017,"Acceso a Internet","No accede",0.910740353
"Arequipa","INEI",2017,"Acceso a Internet","No accede",0.67124379
"Ayacucho","INEI",2017,"Acceso a Internet","No accede",0.895821328
"Cajamarca","INEI",2017,"Acceso a Internet","No accede",0.907127763
"Callao","INEI",2017,"Acceso a Internet","No accede",0.55793906
"Cusco","INEI",2017,"Acceso a Internet","No accede",0.830810806
"Huancavelica","INEI",2017,"Acceso a Internet","No accede",0.950668754
"Huanuco","INEI",2017,"Acceso a Internet","No accede",0.89148247
"Ica","INEI",2017,"Acceso a Internet","No accede",0.725795881
"Junin","INEI",2017,"Acceso a Internet","No accede",0.836437307
"La Libertad","INEI",2017,"Acceso a Internet","No accede",0.727057741
"Lambayeque","INEI",2017,"Acceso a Internet","No accede",0.712712833
"Lima","INEI",2017,"Acceso a Internet","No accede",0.527722565
"Loreto","INEI",2017,"Acceso a Internet","No accede",0.872623738
"Madre De Dios","INEI",2017,"Acceso a Internet","No accede",0.835603207
"Moquegua","INEI",2017,"Acceso a Internet","No accede",0.749805091
"Pasco","INEI",2017,"Acceso a Internet","No accede",0.904244404
"Piura","INEI",2017,"Acceso a Internet","No accede",0.824648965
"Puno","INEI",2017,"Acceso a Internet","No accede",0.925478771
"San Martin","INEI",2017,"Acceso a Internet","No accede",0.854996766
"Tacna","INEI",2017,"Acceso a Internet","No accede",0.707335516
"Tumbes","INEI",2017,"Acceso a Internet","No accede",0.788028372
"Ucayali","INEI",2017,"Acceso a Internet","No accede",0.843304214
"Amazonas","INEI",2007,"Acceso a TV Cable","Accede",0.034497214
"Ancash","INEI",2007,"Acceso a TV Cable","Accede",0.106275977
"Apurimac","INEI",2007,"Acceso a TV Cable","Accede",0.0325896
"Arequipa","INEI",2007,"Acceso a TV Cable","Accede",0.123965769
"Ayacucho","INEI",2007,"Acceso a TV Cable","Accede",0.025498477
"Cajamarca","INEI",2007,"Acceso a TV Cable","Accede",0.024538644
"Callao","INEI",2007,"Acceso a TV Cable","Accede",0.285722213
"Cusco","INEI",2007,"Acceso a TV Cable","Accede",0.053530894
"Huancavelica","INEI",2007,"Acceso a TV Cable","Accede",0.007490006
"Huanuco","INEI",2007,"Acceso a TV Cable","Accede",0.038394077
"Ica","INEI",2007,"Acceso a TV Cable","Accede",0.074490676
"Junin","INEI",2007,"Acceso a TV Cable","Accede",0.054538319
"La Libertad","INEI",2007,"Acceso a TV Cable","Accede",0.126215434
"Lambayeque","INEI",2007,"Acceso a TV Cable","Accede",0.105706359
"Lima","INEI",2007,"Acceso a TV Cable","Accede",0.315740852
"Loreto","INEI",2007,"Acceso a TV Cable","Accede",0.08634107
"Madre De Dios","INEI",2007,"Acceso a TV Cable","Accede",0.139594093
"Moquegua","INEI",2007,"Acceso a TV Cable","Accede",0.135379539
"Pasco","INEI",2007,"Acceso a TV Cable","Accede",0.093483233
"Piura","INEI",2007,"Acceso a TV Cable","Accede",0.09025495
"Puno","INEI",2007,"Acceso a TV Cable","Accede",0.01571133
"San Martin","INEI",2007,"Acceso a TV Cable","Accede",0.146107598
"Tacna","INEI",2007,"Acceso a TV Cable","Accede",0.073450524
"Tumbes","INEI",2007,"Acceso a TV Cable","Accede",0.123707629
"Ucayali","INEI",2007,"Acceso a TV Cable","Accede",0.036978733
"Amazonas","INEI",2017,"Acceso a TV Cable","Accede",0.170783503
"Ancash","INEI",2017,"Acceso a TV Cable","Accede",0.273368382
"Apurimac","INEI",2017,"Acceso a TV Cable","Accede",0.131775197
"Arequipa","INEI",2017,"Acceso a TV Cable","Accede",0.349182886
"Ayacucho","INEI",2017,"Acceso a TV Cable","Accede",0.151043995
"Cajamarca","INEI",2017,"Acceso a TV Cable","Accede",0.137155973
"Callao","INEI",2017,"Acceso a TV Cable","Accede",0.549555268
"Cusco","INEI",2017,"Acceso a TV Cable","Accede",0.178688474
"Huancavelica","INEI",2017,"Acceso a TV Cable","Accede",0.072459394
"Huanuco","INEI",2017,"Acceso a TV Cable","Accede",0.218337585
"Ica","INEI",2017,"Acceso a TV Cable","Accede",0.397747418
"Junin","INEI",2017,"Acceso a TV Cable","Accede",0.214850463
"La Libertad","INEI",2017,"Acceso a TV Cable","Accede",0.328099454
"Lambayeque","INEI",2017,"Acceso a TV Cable","Accede",0.320314447
"Lima","INEI",2017,"Acceso a TV Cable","Accede",0.596997383
"Loreto","INEI",2017,"Acceso a TV Cable","Accede",0.33904975
"Madre De Dios","INEI",2017,"Acceso a TV Cable","Accede",0.459963296
"Moquegua","INEI",2017,"Acceso a TV Cable","Accede",0.384732721
"Pasco","INEI",2017,"Acceso a TV Cable","Accede",0.315085914
"Piura","INEI",2017,"Acceso a TV Cable","Accede",0.320447506
"Puno","INEI",2017,"Acceso a TV Cable","Accede",0.062257663
"San Martin","INEI",2017,"Acceso a TV Cable","Accede",0.451729961
"Tacna","INEI",2017,"Acceso a TV Cable","Accede",0.221051322
"Tumbes","INEI",2017,"Acceso a TV Cable","Accede",0.446036615
"Ucayali","INEI",2017,"Acceso a TV Cable","Accede",0.313080749
"Amazonas","INEI",2007,"Acceso a TV Cable","No accede",0.965502786
"Ancash","INEI",2007,"Acceso a TV Cable","No accede",0.893724023
"Apurimac","INEI",2007,"Acceso a TV Cable","No accede",0.9674104
"Arequipa","INEI",2007,"Acceso a TV Cable","No accede",0.876034231
"Ayacucho","INEI",2007,"Acceso a TV Cable","No accede",0.974501523
"Cajamarca","INEI",2007,"Acceso a TV Cable","No accede",0.975461356
"Callao","INEI",2007,"Acceso a TV Cable","No accede",0.714277787
"Cusco","INEI",2007,"Acceso a TV Cable","No accede",0.946469106
"Huancavelica","INEI",2007,"Acceso a TV Cable","No accede",0.992509994
"Huanuco","INEI",2007,"Acceso a TV Cable","No accede",0.961605923
"Ica","INEI",2007,"Acceso a TV Cable","No accede",0.925509324
"Junin","INEI",2007,"Acceso a TV Cable","No accede",0.945461681
"La Libertad","INEI",2007,"Acceso a TV Cable","No accede",0.873784566
"Lambayeque","INEI",2007,"Acceso a TV Cable","No accede",0.894293641
"Lima","INEI",2007,"Acceso a TV Cable","No accede",0.684259148
"Loreto","INEI",2007,"Acceso a TV Cable","No accede",0.91365893
"Madre De Dios","INEI",2007,"Acceso a TV Cable","No accede",0.860405907
"Moquegua","INEI",2007,"Acceso a TV Cable","No accede",0.864620461
"Pasco","INEI",2007,"Acceso a TV Cable","No accede",0.906516767
"Piura","INEI",2007,"Acceso a TV Cable","No accede",0.90974505
"Puno","INEI",2007,"Acceso a TV Cable","No accede",0.98428867
"San Martin","INEI",2007,"Acceso a TV Cable","No accede",0.853892402
"Tacna","INEI",2007,"Acceso a TV Cable","No accede",0.926549476
"Tumbes","INEI",2007,"Acceso a TV Cable","No accede",0.876292371
"Ucayali","INEI",2007,"Acceso a TV Cable","No accede",0.963021267
"Amazonas","INEI",2017,"Acceso a TV Cable","No accede",0.829216497
"Ancash","INEI",2017,"Acceso a TV Cable","No accede",0.726631618
"Apurimac","INEI",2017,"Acceso a TV Cable","No accede",0.868224803
"Arequipa","INEI",2017,"Acceso a TV Cable","No accede",0.650817114
"Ayacucho","INEI",2017,"Acceso a TV Cable","No accede",0.848956005
"Cajamarca","INEI",2017,"Acceso a TV Cable","No accede",0.862844027
"Callao","INEI",2017,"Acceso a TV Cable","No accede",0.450444732
"Cusco","INEI",2017,"Acceso a TV Cable","No accede",0.821311526
"Huancavelica","INEI",2017,"Acceso a TV Cable","No accede",0.927540606
"Huanuco","INEI",2017,"Acceso a TV Cable","No accede",0.781662415
"Ica","INEI",2017,"Acceso a TV Cable","No accede",0.602252582
"Junin","INEI",2017,"Acceso a TV Cable","No accede",0.785149537
"La Libertad","INEI",2017,"Acceso a TV Cable","No accede",0.671900546
"Lambayeque","INEI",2017,"Acceso a TV Cable","No accede",0.679685553
"Lima","INEI",2017,"Acceso a TV Cable","No accede",0.403002617
"Loreto","INEI",2017,"Acceso a TV Cable","No accede",0.66095025
"Madre De Dios","INEI",2017,"Acceso a TV Cable","No accede",0.540036704
"Moquegua","INEI",2017,"Acceso a TV Cable","No accede",0.615267279
"Pasco","INEI",2017,"Acceso a TV Cable","No accede",0.684914086
"Piura","INEI",2017,"Acceso a TV Cable","No accede",0.679552494
"Puno","INEI",2017,"Acceso a TV Cable","No accede",0.937742337
"San Martin","INEI",2017,"Acceso a TV Cable","No accede",0.548270039
"Tacna","INEI",2017,"Acceso a TV Cable","No accede",0.778948678
"Tumbes","INEI",2017,"Acceso a TV Cable","No accede",0.553963385
"Ucayali","INEI",2017,"Acceso a TV Cable","No accede",0.686919251
"Amazonas","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.0503613
"Amazonas","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.176799603
"Ancash","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.201151922
"Ancash","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.349217762
"Apurimac","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.049199117
"Apurimac","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.160768472
"Arequipa","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.28560918
"Arequipa","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.494685245
"Ayacucho","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.072590976
"Ayacucho","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.183245784
"Cajamarca","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.071080762
"Cajamarca","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.203002601
"Callao","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.505858905
"Callao","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.62981614
"Cusco","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.118664754
"Cusco","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.29210064
"Huancavelica","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.029454781
"Huancavelica","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.060035278
"Huanuco","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.072704738
"Huanuco","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.186896548
"Ica","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.236401442
"Ica","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.551297365
"Junin","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.16892137
"Junin","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.310654381
"La Libertad","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.297846909
"La Libertad","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.434817406
"Lambayeque","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.281887555
"Lambayeque","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.505045425
"Lima","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.496350762
"Lima","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.623934083
"Loreto","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.198516297
"Loreto","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.205588312
"Madre De Dios","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.10318615
"Madre De Dios","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.386229723
"Moquegua","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.176683843
"Moquegua","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.487789975
"Pasco","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.066423478
"Pasco","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.28143641
"Piura","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.20462938
"Piura","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.371207514
"Puno","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.046005855
"Puno","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.235975368
"San Martin","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.116219205
"San Martin","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.25169022
"Tacna","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.190782726
"Tacna","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.560098563
"Tumbes","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.179442056
"Tumbes","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.566083392
"Ucayali","INEI",2007,"Tipo de Teléfono","Teléfono fijo",0.183782449
"Ucayali","INEI",2007,"Tipo de Teléfono","Teléfono celular",0.350341081
"Amazonas","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.012229425
"Amazonas","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.693947692
"Ancash","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.14474863
"Ancash","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.796012255
"Apurimac","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.029607768
"Apurimac","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.712085872
"Arequipa","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.217008756
"Arequipa","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.912770668
"Ayacucho","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.055703061
"Ayacucho","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.776487632
"Cajamarca","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.048661807
"Cajamarca","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.746643142
"Callao","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.387652689
"Callao","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.917382845
"Cusco","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.105917958
"Cusco","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.772859844
"Huancavelica","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.019506122
"Huancavelica","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.681544643
"Huanuco","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.061400534
"Huanuco","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.738851124
"Ica","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.17866055
"Ica","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.876616339
"Junin","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.119578054
"Junin","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.804628367
"La Libertad","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.216150135
"La Libertad","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.844236721
"Lambayeque","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.215963778
"Lambayeque","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.869645001
"Lima","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.407265536
"Lima","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.921469774
"Loreto","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.10092788
"Loreto","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.644421283
"Madre De Dios","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.090891529
"Madre De Dios","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.88005892
"Moquegua","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.143164638
"Moquegua","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.881004034
"Pasco","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.032819342
"Pasco","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.76738876
"Piura","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.122976906
"Piura","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.770718064
"Puno","INEI",2017,"Tipo de Teléfono","Teléfono fijo",0.035742429
"Puno","INEI",2017,"Tipo de Teléfono","Teléfono celular",0.713515949
